Q(MPa)	Defvolfluide	Q(MPa)	defvol
9.41E+01	1.58E-03	1.15E+01	4.40E-03
9.44E+01	1.58E-03	1.12E+01	4.40E-03
9.49E+01	1.58E-03	1.12E+01	4.40E-03
9.52E+01	1.58E-03	1.10E+01	4.40E-03
9.58E+01	1.59E-03	1.07E+01	4.40E-03
9.61E+01	1.59E-03	1.07E+01	4.40E-03
9.67E+01	1.59E-03	1.04E+01	4.40E-03
9.70E+01	1.59E-03	1.04E+01	4.40E-03
9.73E+01	1.59E-03	1.01E+01	4.40E-03
9.78E+01	1.59E-03	1.01E+01	4.40E-03
9.84E+01	1.59E-03	9.80E+00	4.40E-03
9.87E+01	1.59E-03	9.52E+00	4.40E-03
9.90E+01	1.60E-03	9.52E+00	4.40E-03
9.96E+01	1.60E-03	9.24E+00	4.40E-03
1.00E+02	1.60E-03	8.94E+00	4.40E-03
1.00E+02	1.64E-03	8.94E+00	4.40E-03
1.01E+02	1.68E-03	8.65E+00	4.40E-03
1.01E+02	1.71E-03	8.66E+00	4.40E-03
1.02E+02	1.71E-03	8.36E+00	4.40E-03
1.02E+02	1.71E-03	8.36E+00	4.40E-03
1.02E+02	1.71E-03	8.08E+00	4.40E-03
1.03E+02	1.71E-03	8.08E+00	4.40E-03
1.03E+02	1.71E-03	7.79E+00	4.40E-03
1.04E+02	1.71E-03	7.49E+00	4.40E-03
1.04E+02	1.71E-03	7.50E+00	4.40E-03
1.05E+02	1.71E-03	7.21E+00	4.40E-03
1.05E+02	1.73E-03	7.21E+00	4.40E-03
1.06E+02	1.76E-03	6.92E+00	4.40E-03
1.06E+02	1.79E-03	6.93E+00	4.40E-03
1.07E+02	1.79E-03	6.63E+00	4.40E-03
1.07E+02	1.79E-03	6.35E+00	4.40E-03
1.07E+02	1.79E-03	6.35E+00	4.40E-03
1.08E+02	1.79E-03	6.06E+00	4.40E-03
1.08E+02	1.79E-03	6.06E+00	4.40E-03
1.09E+02	1.79E-03	5.77E+00	4.40E-03
1.09E+02	1.79E-03	5.77E+00	4.40E-03
1.09E+02	1.79E-03	5.48E+00	4.40E-03
1.10E+02	1.79E-03	5.48E+00	4.40E-03
1.10E+02	1.79E-03	5.19E+00	4.40E-03
1.11E+02	1.79E-03	5.20E+00	4.40E-03
1.11E+02	1.79E-03	4.91E+00	4.40E-03
1.12E+02	1.79E-03	5.00E+00	4.40E-03
1.12E+02	1.79E-03	4.91E+00	4.40E-03
1.13E+02	1.80E-03	4.63E+00	4.40E-03
1.13E+02	1.80E-03	4.63E+00	4.40E-03
1.14E+02	1.80E-03	4.33E+00	4.40E-03
1.14E+02	1.80E-03	4.33E+00	4.40E-03
1.14E+02	1.80E-03	4.04E+00	4.40E-03
1.15E+02	1.80E-03	4.04E+00	4.40E-03
1.15E+02	1.81E-03	3.74E+00	4.40E-03
1.15E+02	1.81E-03	3.75E+00	4.40E-03
1.16E+02	1.81E-03	3.46E+00	4.40E-03
1.16E+02	1.81E-03	3.46E+00	4.40E-03
1.17E+02	1.81E-03	3.46E+00	4.40E-03
1.17E+02	1.81E-03	3.16E+00	4.40E-03
1.18E+02	1.81E-03	3.25E+00	4.40E-03
1.18E+02	1.81E-03	2.87E+00	4.40E-03
1.19E+02	1.82E-03	2.87E+00	4.40E-03
1.19E+02	1.82E-03	2.87E+00	4.40E-03
1.19E+02	1.82E-03	2.58E+00	4.40E-03
1.20E+02	1.82E-03	2.58E+00	4.40E-03
1.20E+02	1.82E-03	2.59E+00	4.40E-03
1.21E+02	1.82E-03	2.30E+00	4.40E-03
1.21E+02	1.82E-03	2.30E+00	4.40E-03
